会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,訪問目的その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,情報収集その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県までの交通手段その他,福井県内での交通手段ALL,自家用車2,レンタカー2,タクシー,在来線2,旅行会社ツアーバス2,路線バス,徒歩,レンタサイクル,福井県内での交通手段その他,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向
107952,道の駅「越前おおの荒島の郷」 エリア,女,1960,62,60代,長野県,下伊那郡,700万円以上 800万円未満,mobile/iphone,44742.50928,6月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,0,3泊,3泊,奥越前エリア（勝山市・大野市）,滋賀県,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,ホテル契約,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満",初めて,九頭竜湖,恐竜博物,選択なし/該当施設なし,兼六園,"3,000円以上 5,000円未満",満足,,感じなかった,,2,,,機会があれば行きたい
107949,永平寺町 エリア,男,1961,61,60代,福井県,福井市,500万円以上 600万円未満,mobile/android,44742.48611,6月,永平寺町 エリア,27.永平寺町 エリア,永平寺町,福井市・永平寺町,0,日帰り,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,職場の同僚,"出張など仕事関係
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"TV・ラジオ番組やCM
インターネット・アプリ
",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,会社の車,"その他
",0,0,0,0,0,0,0,0,会社の車,選択肢なし,,"5,000円以上 10,000円未満",使わない,"1,000円以上 3,000円未満",2～5回目,一乗谷朝倉氏遺跡,仕事関係,丸岡城,,"1,000円以上 3,000円未満",満足,,感じなかった,,5,,,機会があれば行きたい
107947,web,女,1971,51,50代,岐阜県,大垣市,600万円以上 700万円未満,mobile/iphone,44742.46733,6月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,京都府,夫婦2人,"温泉や露天風呂
まちあるき、都市散策
友人・親戚を尋ねる
",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"観光パンフレット・ポスター
インターネット・アプリ
友人・知人
",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,敦賀赤レンガ倉庫,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,9,,,機会があれば行きたい
107911,道の駅「九頭竜」 エリア,男,1987,35,30代,福井県,坂井市,700万円以上 800万円未満,mobile/android,44742.38253,6月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Twitter
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"その他
",0,0,0,0,0,0,0,0,バイク,とても満足,,"1,000円未満",使わない,"1,000円未満",2～5回目,選択なし/該当施設なし,,道の駅「河野」,,"1,000円未満",どちらでもない,,感じなかった,,9,,,福井県在住
107939,道の駅「西山公園」 エリア,女,1954,68,60代,福井県,福井市,分からない/無回答,mobile/iphone,44742.37753,6月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,選択肢なし,,使わない,"1,000円未満","1,000円以上 3,000円未満",6～10回目,越前陶芸村,,選択なし/該当施設なし,,"1,000円未満",とても満足,いつ来てもお花や新緑、公園が綺麗だ,感じた,お花の見ごろの頃、道が混雑して駐車場もなかなかない,9,色んな楽しみ方があり、年齢層も選ばないところ,西山公園にしかない土産が欲しい,福井県在住
107938,うみんぴあ大飯 エリア,女,1970,52,50代,千葉県,匝瑳市,"900万円以上 1,000万円未満",mobile/android,44742.36637,6月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,0,2泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,浜松市,自分ひとり,"出張など仕事関係
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,トラック,"その他
",0,0,0,0,0,0,0,0,トラック,,,使わない,使わない,"5,000円以上 10,000円未満",6～10回目,舞鶴（京都府）,,選択なし/該当施設なし,浜松SA,"3,000円以上 5,000円未満",満足,,感じた,食事出来る時間がもっと長いと寄りやすい,10,,,また行きたい（1年以内）
107934,道の駅「越前おおの荒島の郷」 エリア,男,1958,64,60代,愛知県,長久手市,分からない/無回答,mobile/iphone,44741.90244,6月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"まちあるき、都市散策
出張など仕事関係
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"観光パンフレット・ポスター
観光連盟やDMOのHP
観光協会等の案内所
",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"その他
",0,0,0,0,0,0,0,社用車,"自家用車
レンタカー
",1,1,0,0,0,0,0,0,0,,,使わない,"10,000円以上 20,000円未満","3,000円以上 5,000円未満",6～10回目,道の駅「九頭竜・和泉ふれあい会館」,,金沢駅周辺（石川県）,,"5,000円以上 10,000円未満",とても満足,自然栽培の食べ物豊富、食事も素敵、情報提供が満載,感じなかった,,10,美味しそうな産直お土産、フードコート,サイクリングや緩やかな山歩きのアドバイス、サークルがあったら楽しみ,また行きたい（1年以内）
107930,web,男,1985,37,30代,埼玉県,蕨市,200万円以上 300万円未満,mobile/iphone,44741.86322,6月,今庄宿 エリア,45.今庄宿 エリア,南越前町,丹南,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
友人・親戚を尋ねる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"新幹線
在来線
",0,0,1,1,0,0,0,0,"在来線
",0,0,0,1,0,0,0,0,0,不満,本数が少ないので、移動時間の選択肢が限られてしまうため,使わない,"10,000円以上 20,000円未満","3,000円以上 5,000円未満",6～10回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,6,,,また行きたい（1年以内）
107928,UMIKARA エリア,女,1963,59,50代,福井県,大飯郡,100万円以上 200万円未満,mobile/iphone,44741.83863,6月,UMIKARA エリア,70.UMIKARA エリア,高浜町,嶺南西部,0,日帰り,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,その他家族,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,どちらでもない,食事の料金が高い,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,水槽ももっと見えるようにしたらいい,感じなかった,駐車場から近いから良いけど。風邪がきつい,3,コロナが少ない,飲食は高い、回転寿司をした方が海の幸がいかせる。,また行きたい（1年以内）
107929,今庄宿 エリア,女,1985,37,30代,埼玉県,蕨市,300万円以上 400万円未満,mobile/iphone,44741.83715,6月,今庄宿 エリア,45.今庄宿 エリア,南越前町,丹南,0,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
まちあるき、都市散策
友人・親戚を尋ねる
",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
在来線
",0,0,1,1,0,0,0,0,"在来線
",0,0,0,1,0,0,0,0,0,不満,一日の電車の本数がもっと増えてほしい。,"5,000円以上 10,000円未満","30,000円以上 40,000円未満","20,000円以上 30,000円未満",2～5回目,氣比神宮,,敦賀赤レンガ倉庫,,"5,000円以上 10,000円未満",とても満足,ご飯が美味しかった。,感じた,交通手段が少ない。,8,自然の雰囲気と田舎の感じが良い。,お蕎麦な美味しかった。,また行きたい（1年以内）
107923,まちの市場 こってコテいけだ エリア,男,1994,28,20代,福井県,南条郡,300万円以上 400万円未満,mobile/iphone,44741.72676,6月,まちの市場 こってコテいけだ エリア,35.まちの市場 こってコテいけだ エリア,池田町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Twitter
Instagram
友人・知人
",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,"市内からもかなり遠かった。
でものどかで気持ちよく、
たまに来る場所としてはとてつもなく充実した場所でした。
また来ます","1,000円以上 3,000円未満","1,000円未満","1,000円以上 3,000円未満",2～5回目,丸岡城,東尋坊など,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,3,"とてものどかで気持ちが晴れました。
ドライブといえば海ですが、
山の魅力も感じられ、また来たいです。",山と触れ合えるような施設があるといいと思いました。,福井県在住
107922,道の駅「南えちぜん山海里」 エリア,女,1962,60,60代,大阪府,堺市北区,300万円以上 400万円未満,mobile/android,44741.66604,6月,道の駅「南えちぜん山海里」 エリア,43.道の駅「南えちぜん山海里」 エリア,南越前町,丹南,0,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,御食国若狭おばま食文化館,,日本海さかな街,,"5,000円以上 10,000円未満",満足,,感じた,フードエリアで車椅子で移動するのに狭くて困った,7,,,また行きたい（1年以内）
102098,道の駅「南えちぜん山海里」 エリア,女,1963,59,50代,福井県,福井市,100万円以上 200万円未満,mobile/android,44741.62889,6月,越前大仏 エリア,22.越前大仏 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Facebook
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,使わない,"5,000円以上 10,000円未満",6～10回目,越前大野城,,吉崎御坊跡,,"3,000円以上 5,000円未満",不満,門前町に活気がない,感じなかった,,9,,,福井県在住
107675,web,女,1961,61,60代,愛知県,名古屋市千種区,"900万円以上 1,000万円未満",mobile/iphone,44741.59856,6月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,0,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,好きな場所は好きな時間に行ける,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,越前海岸,,道の駅「パークイン丹生ヶ丘」,,"40,000円以上 50,000円未満",満足,,感じなかった,,6,,,また行きたい（1年以内）
101286,道の駅「越前」 エリア,女,1959,63,60代,福井県,鯖江市,500万円以上 600万円未満,mobile/android,44741.50543,6月,越前陶芸村 エリア,41.越前陶芸村 エリア,越前町,丹南,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,前々から食べたいと思っていたから,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,使わない,"1,000円以上 3,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,そばが美味しく、ゴディバとのマリアージュが素晴らしい,感じなかった,,8,だいこん舎のそば,涼しくなったら、グランドゴルフをしたいです,福井県在住
102098,道の駅「南えちぜん山海里」 エリア,女,1963,59,50代,福井県,福井市,100万円以上 200万円未満,mobile/android,44741.49666,6月,越前大野城・城下町 エリア,15.越前大野城・城下町 エリア,大野市,勝山市・大野市,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"花見や紅葉などの自然鑑賞
名所、旧跡の観光
まちあるき、都市散策
",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"観光連盟やDMOのHP
Facebook
",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,使わない,"5,000円以上 10,000円未満",11回目以上,丸岡城,,選択なし/該当施設なし,勝山城,"5,000円以上 10,000円未満",とても満足,,感じなかった,,8,,,福井県在住
107670,道の駅「越前おおの荒島の郷」 エリア,男,1959,63,60代,福井県,福井市,200万円以上 300万円未満,mobile/android,44741.46406,6月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,0,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"徒歩
",0,0,0,0,0,0,1,0,0,,,使わない,使わない,"1,000円以上 3,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",満足,,感じなかった,,8,,,福井県在住
